"sp1" "sp2" "true_tau"
"58" "152" 0.0919719
"90" "113" 0.428232
"62" "56" 0.161308
"88" "93" 0.150561
"165" "98" 0.0113323
"114" "62" 0.242985
"94" "179" 0.00442437
"58" "152" 1.04345
"58" "152" 0.0919719
"90" "113" 0.150548
"90" "113" 0.428232
"90" "186" 0.859463
"149" "87" 0.167713
"88" "93" 0.0459912
"88" "93" 0.150561
"168" "47" 0.42764
"168" "47" 0.686933
"168" "47" 0.42764
"149" "87" 0.125564
"149" "87" 0.167713
"90" "186" 0.8434
"90" "186" 0.859463
"93" "122" 0.0124394
"114" "62" 0.0733341
"114" "62" 0.242985
"62" "56" 0.06174
"62" "56" 0.161308
"93" "122" 0.55942
"93" "122" 0.0124394
